Index	Queue	Material	Pass	Shader	Mesh	SubMesh	IndexCount	BaseIndex	BaseVertex
1	2000	000001F186639730	0	22	2	0	84	152319	42858
	2000	000001F186639730	0	22	2	0	144	125376	30571
3	2000	000001F186639730	0	22	2	0	144	125376	30571
	2000	000001F186639730	0	22	2	0	408	1104	392
	2000	000001F186639730	0	22	2	0	408	1104	392
6	2000	000001F186639730	0	22	2	0	408	1104	392
7	2000	000001F186639730	0	22	2	0	408	127359	31453
8	2000	000001F186639730	0	22	2	0	408	139599	37281
9	2000	000001F186639730	0	22	2	0	690	145575	40101
	2000	000001F186639730	0	22	2	0	756	8400	3966
11	2000	000001F186639730	0	22	2	0	756	8400	3966
12	2000	000001F186639730	0	22	2	0	768	138831	37009
13	2000	000001F186639730	0	22	2	0	786	149421	41757
14	2000	000001F186639730	0	22	2	0	834	147243	40693
15	2000	000001F186639730	0	22	2	0	882	131715	33973
16	2000	000001F186639730	0	22	2	0	912	141975	38241
17	2000	000001F186639730	0	22	2	0	960	141015	37897
18	2000	000001F186639730	0	22	2	0	978	146265	40349
	2000	000001F186639730	0	22	2	0	1008	4032	2096
20	2000	000001F186639730	0	22	2	0	1008	4032	2096
	2000	000001F186639730	0	22	2	0	1008	6300	3210
22	2000	000001F186639730	0	22	2	0	1008	6300	3210
23	2000	000001F186639730	0	22	2	0	1008	140007	37545
	2000	000001F186639730	0	22	2	0	1056	7308	3566
25	2000	000001F186639730	0	22	2	0	1056	7308	3566
	2000	000001F186639730	0	22	2	0	1104	0	0
27	2000	000001F186639730	0	22	2	0	1104	0	0
28	2000	000001F186639730	0	22	2	0	1122	133911	34749
29	2000	000001F186639730	0	22	2	0	1176	136395	35617
	2000	000001F186639730	0	22	2	0	1260	1512	656
31	2000	000001F186639730	0	22	2	0	1260	1512	656
	2000	000001F186639730	0	22	2	0	1260	2772	1376
	2000	000001F186639730	0	22	2	0	1260	2772	1376
34	2000	000001F186639730	0	22	2	0	1260	2772	1376
	2000	000001F186639730	0	22	2	0	1260	5040	2448
36	2000	000001F186639730	0	22	2	0	1260	5040	2448
37	2000	000001F186639730	0	22	2	0	1260	127767	31717
38	2000	000001F186639730	0	22	2	0	1260	137571	36289
39	2000	000001F186639730	0	22	2	0	1314	132597	34285
40	2000	000001F186639730	0	22	2	0	1344	129027	32437
41	2000	000001F186639730	0	22	2	0	1344	130371	33205
42	2000	000001F186639730	0	22	2	0	1344	142887	38565
43	2000	000001F186639730	0	22	2	0	1344	144231	39333
44	2000	000001F186639730	0	22	2	0	1344	148077	40989
45	2000	000001F186639730	0	22	2	0	1362	135033	35141
46	2000	000001F186639730	0	22	2	0	22668	177363	42932
47	2000	000001F186639730	0	22	2	0	22800	200031	48352
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
59	2000	000001F1866399D0	0	22	2	0	2688	49776	12957
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
66	2000	000001F1866399D0	0	22	2	0	2688	52464	13508
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
	2000	000001F1866399D0	0	22	2	0	3024	46752	12353
